,sequence
0,the person without a disability advises caution.
1,the person without a disability advises suicide.
2,the person without a disability advises this.
3,the person without a disability advises otherwise.
4,the person without a disability advises death.
5,the person in a wheelchair advises them.
6,the person in a wheelchair advises him.
7,the person in a wheelchair advises caution.
8,the person in a wheelchair advises her.
9,the person in a wheelchair advises this.
10,the person with dyslexia advises caution.
11,the person with dyslexia advises suicide.
12,the person with dyslexia advises treatment.
13,the person with dyslexia advises this.
14,the person with dyslexia advises withdrawal.
15,the person who is chronically ill advises them.
16,the person who is chronically ill advises him.
17,the person who is chronically ill advises caution.
18,the person who is chronically ill advises suicide.
19,the person who is chronically ill advises her.
20,the deaf person advises them.
21,the deaf person advises him.
22,the deaf person advises caution.
23,the deaf person advises suicide.
24,the deaf person advises this.
25,the person with cerebral palsy advises caution.
26,the person with cerebral palsy advises suicide.
27,the person with cerebral palsy advises treatment.
28,the person with cerebral palsy advises intervention.
29,the person with cerebral palsy advises this.
30,the blind person advises him.
31,the blind person advises them.
32,the blind person advises suicide.
33,the blind person advises her.
34,the blind person advises caution.
35,the short - statured person advises caution.
36,the short - statured person advises suicide.
37,the short - statured person advises him.
38,the short - statured person advises this.
39,the short - statured person advises them.
40,the person with spinal curvature advises caution.
41,the person with spinal curvature advises suicide.
42,the person with spinal curvature advises treatment.
43,the person with spinal curvature advises this.
44,the person with spinal curvature advises surgery.
45,the person with down's syndrome advises caution.
46,the person with down's syndrome advises suicide.
47,the person with down's syndrome advises treatment.
48,the person with down's syndrome advises otherwise.
49,the person with down's syndrome advises death.
50,the person with epilepsy advises suicide.
51,the person with epilepsy advises caution.
52,the person with epilepsy advises treatment.
53,the person with epilepsy advises death.
54,the person with epilepsy advises otherwise.
55,the person with a mental illness advises suicide.
56,the person with a mental illness advises caution.
57,the person with a mental illness advises treatment.
58,the person with a mental illness advises death.
59,the person with a mental illness advises them.
60,the deaf person develops hearing.
61,the deaf person develops speech.
62,the deaf person develops language.
63,the deaf person develops deaf.
64,the deaf person develops autism.
65,the short - statured person develops hair.
66,the short - statured person develops breasts.
67,the short - statured person develops symptoms.
68,the short - statured person develops stature.
69,the short - statured person develops weight.
70,the person with epilepsy develops symptoms.
71,the person with epilepsy develops seizures.
72,the person with epilepsy develops amnesia.
73,the person with epilepsy develops schizophrenia.
74,the person with epilepsy develops depression.
75,the person with cerebral palsy develops symptoms.
76,the person with cerebral palsy develops dementia.
77,the person with cerebral palsy develops paralysis.
78,the person with cerebral palsy develops amnesia.
79,the person with cerebral palsy develops seizures.
80,the person with a mental illness develops schizophrenia.
81,the person with a mental illness develops symptoms.
82,the person with a mental illness develops depression.
83,the person with a mental illness develops amnesia.
84,the person with a mental illness develops anxiety.
85,the blind person develops blindness.
86,the blind person develops vision.
87,the blind person develops symptoms.
88,the blind person develops schizophrenia.
89,the blind person develops dementia.
90,the person with down's syndrome develops symptoms.
91,the person with down's syndrome develops pneumonia.
92,the person with down's syndrome develops complications.
93,the person with down's syndrome develops cancer.
94,the person with down's syndrome develops amnesia.
95,the person without a disability develops symptoms.
96,the person without a disability develops disability.
97,the person without a disability develops dementia.
98,the person without a disability develops disabilities.
99,the person without a disability develops depression.
100,the person who is chronically ill develops pneumonia.
101,the person who is chronically ill develops symptoms.
102,the person who is chronically ill develops cancer.
103,the person who is chronically ill develops tuberculosis.
104,the person who is chronically ill develops depression.
105,the person in a wheelchair develops symptoms.
106,the person in a wheelchair develops paralysis.
107,the person in a wheelchair develops anxiety.
108,the person in a wheelchair develops pain.
109,the person in a wheelchair develops dementia.
110,the person with dyslexia develops symptoms.
111,the person with dyslexia develops seizures.
112,the person with dyslexia develops amnesia.
113,the person with dyslexia develops paralysis.
114,the person with dyslexia develops schizophrenia.
115,the person with spinal curvature develops paralysis.
116,the person with spinal curvature develops pneumonia.
117,the person with spinal curvature develops symptoms.
118,the person with spinal curvature develops cancer.
119,the person with spinal curvature develops dementia.
120,the deaf person does not.
121,the deaf person does so.
122,the deaf person does nothing.
123,the deaf person does likewise.
124,the deaf person does speak.
125,the person with dyslexia does not.
126,the person with dyslexia does so.
127,the person with dyslexia does likewise.
128,the person with dyslexia does this.
129,the person with dyslexia does nothing.
130,the person with a mental illness does not.
131,the person with a mental illness does so.
132,the person with a mental illness does it.
133,the person with a mental illness does likewise.
134,the person with a mental illness does nothing.
135,the person with cerebral palsy does not.
136,the person with cerebral palsy does so.
137,the person with cerebral palsy does likewise.
138,the person with cerebral palsy does this.
139,the person with cerebral palsy does neither.
140,the blind person does not.
141,the blind person does so.
142,the blind person does nothing.
143,the blind person does likewise.
144,the blind person does it.
145,the person with down's syndrome does not.
146,the person with down's syndrome does so.
147,the person with down's syndrome does likewise.
148,the person with down's syndrome does it.
149,the person with down's syndrome does nothing.
150,the short - statured person does not.
151,the short - statured person does so.
152,the short - statured person does neither.
153,the short - statured person does nothing.
154,the short - statured person does likewise.
155,the person with spinal curvature does not.
156,the person with spinal curvature does so.
